Date,NOV,A,AAP,ABBV,ABT,ACN,AES,AFL,AIZ,AJG,ALK,ALL,AME,ANSS,ANTM,APA,APH,AVY,BAC,BAX,BBY,BDX,BEN,BLK,BLL,BMY,BRK.B,BWA,C,CAG,CAH,CB,CBRE,CF,CHRW,CI,CINF,CL,CLX,CME,CMG,CMI,CMS,COF,COO,COP,COTY,CPB,CPRI,CRM,CTL,CVS,D,DAL,DE,DFS,DGX,DHI,DHR,DOV,DRI,DUK,DVN,ECL,EIX,EMN,EMR,EOG,ES,EXC,F,FBHS,FCX,FDX,FITB,FLS,FMC,GE,GL,GLW,GPC,GPS,GRMN,GWW,HAL,HBI,HCA,HES,HIG,HLT,HOG,HON,HPQ,HRL,HST,HSY,HUM,ITW,J,JNPR,JWN,K,KEY,KMB,KMI,KMX,KR,KSS,L,LB,LEG,LEN,LH,LHX,LKQ,LLY,LMT,LNC,LOW,LUV,M,MA,MAA,MAS,MCK,MCO,MDT,MET,MHK,MKC,MMC,MO,MOS,MPC,MSI,MTB,NBL,NEE,NEM,NI,NLSN,NOC,NRG,NSC,NTAP,NUE,NWL,NWSA,OKE,OMC,ORCL,PEG,PEP,PFG,PGR,PH,PHM,PM,PNC,PPG,PPL,PRGO,PVH,PWR,PXD,RF,RHI,RJF,RL,ROK,ROP,RSG,RTN,SEE,SHW,SPG,SPGI,SRE,STT,STZ,SWK,SYK,SYY,T,TAP,TFC,TGT,TIF,TJX,TMO,TPR,TSN,TT,TXT,UA,UHS,UNM,UNP,USB,VAR,WAT,WFC,WHR,WM,WMB,WY,XEL,XRX,XYL,YUM,ZTS
2018-01-02,35.86,67.6,104.59,97.3,58.88,153.34,10.81,43.98,100.42,62.71,74.36,102.73,72.76,147.51,224.27,42.75,88.02,114.76,29.62,66.68,67.96,217.74,43.45,511.16,38.2,61.17,197.8,51.21,74.62,37.29,62.4,143.86,43.34,42.61,89.55,202.98,74.08,74.97,147.24,145.78,291.22,177.18,47.02,99.2,218.93,55.14,19.87,47.37,63.31,103.69,16.87,73.3,80.35,56.04,156.94,76.48,98.6,50.96,93.18,81.76129,96.74,83.38,41.71,133.4,62.51,93.11,70.19,108.7,62.56,39.38,12.51,68.56,19.23,253.12,30.54,42.33,95.47,17.73,90.6,32.58,96.53,33.85,59.56,237.32,48.85,20.95,88.75,47.26,55.75,79.53,50.88,153.1,21.14,36.09,19.81,112.37,248.89,166.21,66.85,28.8,49.09,67.77,20.22,119.52,18.43,63.79,27.79,55.72,49.94,61.14,47.17,63.85,160.47,141.78,41.03,84.58,319.56,77.86,93.26,65.99,25.83,153.1,99.72,43.92,158.38,147.25,82.39,50.3,273.85,100.61,81.4,71.43,25.99,66.67,90.75,171.46,29.44,155.61,38.19,25.34,36.21,305.59,28.45,145.35,55.82,64.33,31.02,16.24,54.01,71.6,47.64,51.34,118.69,70.44,56.07,199.48,33.31,104.79,144.83,116.95,30.51,89.44,138.96,39.38,173.41,17.35,55.46,88.56,104.1,196.47,258.53,66.91,186.14,49.32,410.45,170.64,169.36,106.34,97.02,227.24,169.03,157.17,60.52,38.51,81.67,49.78,66.75,104.55,38.46,192.37,44.62,80.2,88.7,56.66,13.3,113.96,54.85,134.37,54.13,112.18,194.86,61.03,168.16,85.66,30.73,35.1,47.67,29.27,67.72,81.92,72.12
2018-01-03,36.72,67.91,106.64,98.15,58.3,154.41,10.93,43.845,99.11,62.6,74.08,101.76,72.74,150.24,226.4,44.85,88.08,115.62,29.69,67.75,68.98,219.88,43.2,510.48,38.37,60.87,197.45,51.87,74.1,37.3,62.65,141.75,43.45,43.33,88.45,202.14,72.56,75.43,145.07,145.64,294.93,176.92,47.02,98.87,221.92,55.7,19.77,47.02,63.92,105.56,17.14,73.27,76.88,55.41,158.04,77.29,97.88,51.74,92.65,82.1326,97.31,83.52,42.84,134.44,63.07,94.8,70.23,110.57,62.96,39.64,12.69,68.63,19.41,256.44,30.42,42.25,96.51,18.21,90.02,32.73,96.81,33.61,60.09,233.8,49.68,21.09,87.48,48.43,54.44,79.88,50.1,152.76,21.41,35.96,19.98,111.5,251.57,164.51,66.81,28.7,49.15,67.58,20.19,118.03,18.76,66.33,28,55.69,50.26,59.72,47.35,65.41,161.94,142.19,41.49,84.47,319.77,77.55,91.32,64.8,25.74,153.58,99.8,43.58,156.16,146.26,82.47,50.37,275.28,100.61,80.95,70.76,26.51,68.01,89.7,171.22,31.04,154.88,38,25.36,36.56,305.85,29.46,146.02,55.76,66.66,31.77,16.46,54.79,71.43,47.99,51.12,118.14,70.23,55.02,199.16,33.72,104.54,144.62,118.54,30.68,88.79,138.27,38.91,175.11,17.29,55.63,89.13,103.69,197.6,259.82,66.6,187.71,49.26,413.42,170.57,168.72,106.41,96.34,227.23,167.98,158.43,60.48,38.08,82.03,49.99,67.58,107.19,37.645,192.66,45.12,80.48,88.71,57.08,14.13,113.14,54.88,135.51,54.25,109.54,195.66,61.53,169.04,87.02,31.29,35.37,47.83,29.29,67.95,81.59,71.61
2018-01-04,38.12,69.41,108.15,98.81,59.25,155.55,10.93,44.65,100.51,63.39,73.91,102.26,74.12,153.09,229.71,45.36,88.84,116.69,30.32,68.55,66.22,220.56,43.92,518.56,38.68,61.11,201.85,53.32,75.89,37.58,62.41,144.58,44.44,43.06,90.31,207.34,73.11,75.59,144.3,149.91,307.56,180.65,46.67,101.96,227.36,56.49,19.75,47.06,63.09,106.52,16.39,76.15,77.18,55.44,159.35,78.63,99.1,52.49,94.43,83.44026,99.28,82.91,42.8,136.21,62.89,96.4,71.58,110.44,62.27,38.97,12.92,69.98,19.54,264.58,30.87,42.59,98,18.36,90.99,33.51,97.45,32.18,59.88,234.32,50.71,20.85,85.84,49.69,55.44,80.71,49.98,152.83,21.35,36.18,19.8,112.17,256.77,165.55,67.53,28.77,46.72,68.01,20.44,117.35,18.94,67.38,27.11,52.49,50.75,51.14,47.62,66.95,163.69,142.29,41.85,84.99,324.4,79.24,91.9,64.52,24.01,156.07,98.5,44.23,153.21,151.73,84.55,51.3,275.89,101.73,82.23,70.47,26.21,68.35,90.35,175.88,31.21,151.77,37.52,25.26,35.87,306.61,28.96,147.68,57.13,67.14,31.72,16.61,55.66,70.2,47.71,49.08,118.79,71.4,55.56,202.51,34.03,104.21,146.35,119.34,31.01,90.23,138.52,40.02,175.67,17.63,56.3,91.12,100.49,202.07,264.12,68.51,188.78,49.61,418.83,168.82,173.69,109.32,98.32,228.8,170.26,159.12,60.07,37.44,82.22,51.49,65.12,105.96,37.415,198.09,44.67,79.85,90.39,57.64,14.44,113.04,56.04,137.61,55.26,111.12,199.35,62.82,168.76,87.6,31.97,35.54,47.6,29.3,69.37,82.4,72.72
2018-01-05,37.98,69.11,111.66,99.11,58.63,156.17,10.88,44.51,99.65,63.21,73.63,100.1,74.02,152.64,232.35,46.72,89.13,117.39,30.17,68.26,67.63,221.99,43.21,521.78,38.49,61.99,200.01,54.48,75.39,37.8,63.5,142.7,44.04,43.7,90.15,209.69,73.57,75.24,145.08,149.18,308.4,181.03,46.03,100.84,227.11,56.51,19.98,47,64.09,107.28,16.89,77.99,77.18,55.57,158.81,77.46,99.31,52.01,94.47,82.97209,98.09,82.01,42.88,136.1,62.1,96.78,71.39,110.83,61.85,38.48,13.12,71.05,19.71,267.12,30.6,43.21,97.69,18.71,90.46,33.63,97.1,32.62,59.91,236.54,51.02,21.14,85.7,51.5,54.98,79.76,50.59,154.84,21.48,36.28,19.77,112.28,261.79,166,67.61,28.88,48.2,68.69,20.3,118.3,18.98,69.1,27.35,54.62,50.58,50.06,47.74,67.25,163.46,142.03,41.93,86.06,327.04,78.61,93.88,64.33,24.55,156.45,96.28,44.26,155.9,152.5,84.06,51.42,274.34,102.18,82.07,69.94,26.8,68.88,91.46,172.67,31.61,151.44,38.07,25.06,35.82,307.64,28.72,149.26,58.1,67.14,32.05,16.61,55.89,71,48.43,49.4,118.36,71.47,54.8,203.86,34.2,103.82,144.81,117.69,30.92,90.71,140.84,39.45,175.05,17.42,55.9,90.09,103.71,199.49,265.89,68.37,189.78,49.5,414.62,166.57,174.61,108.97,98.12,217.68,170.12,158.81,61.17,37.87,82.37,50.92,66.42,107.04,38.035,200.53,45.33,80.12,90.15,57.48,15.43,111.68,55.49,137.52,55.01,109.97,199.58,62.36,167.56,87.74,32.51,35.35,46.97,29.78,69.11,82.71,72.82
2018-01-08,37.8,69.63,111.15,98.88,58.48,158.22,10.89,44.98,100.66,63.4,72.16,101.1,73.74,151.65,231.66,45.54,90.04,118.13,30.06,68.88,68.79,221.06,43.55,526,38.49,61.31,200.87,54.98,74.52,37.74,63.55,142.43,44.2,43.16,90.78,208.22,73.66,75.33,145.8,152.32,313.02,180.88,46.02,100.96,229.67,56.66,20.28,47.49,64.32,107.86,17.16,77.88,78.31,54.91,159.41,77.82,99.24,52.86,94.55,82.64114,97.72,82.12,42.7,136.35,63.14,96.69,71.9,112.21,61.96,38.45,13.11,71.05,19.7,269.14,30.53,43.43,97.59,18.39,90.82,33.4,97.64,31.92,59.36,237.69,51.55,21.57,86.21,51.89,54.74,80.21,51.41,154.86,21.65,36.33,20,113.73,258.76,166.61,67.7,28.05,47.89,68.87,20.17,118.63,18.84,69.67,27.36,55.63,50.53,48.78,47.46,67.63,164.99,144.41,42.1,85.88,330.18,78.46,94.28,63.37,23.86,158.78,96.74,45.23,157.48,154.72,85.4,51.47,275.78,103.32,82.37,70.25,26.13,69.39,92.1,172.05,31.38,152.45,38.23,24.83,36.13,308.6,28.9,151.38,58.49,67.7,31.97,16.71,56.05,71.85,48.2,49.82,118.12,71.45,55.35,203.33,34.57,104.4,144.74,118.5,31.14,87.92,141.39,39.16,176.08,17.32,56.04,90.92,104.56,200.05,267.39,68.15,191.76,49.49,422.19,169.79,176.1,107.73,99.28,215.08,170.64,161.53,61.66,37.87,82.61,51.2,67.32,105.62,38.005,201.1,45.5,81.23,89.99,58.23,14.81,110.1,56,138.48,55.34,110.18,200.91,62.27,168.9,87.8,32.25,35.3,46.88,29.97,68.98,82.5,73.41
2018-01-09,38.46,70.98,109.95,98.76,58.63,157.91,10.83,45.34,100.88,63.53,71.86,100.89,73.95,153.13,231.1,44.88,91.21,118.36,30.32,69.14,69.63,222.51,44.28,535.04,38.74,61.75,203.82,55.86,75.28,37,65.09,144.39,44.89,42.67,91.09,207.87,73.99,75.38,145.53,151.89,320.42,182.28,45.77,101.07,233.05,57.52,20.23,47.21,64.12,108.17,17.16,77.62,77.21,54.92,162,77.76,99.75,52.64,97.48,82.96402,97.87,81.11,42.93,136.53,63.64,97.24,71.8,112.21,61.5,37.9,13.13,71.26,19.27,268.87,31.21,43.29,97.91,18.14,91.9,33.69,98.07,31.77,60.15,237.13,52.11,21.55,86.54,52.4,54.99,81.03,52.16,154.9,21.79,36.31,20.34,113.75,259.73,168,68.17,28.77,48.05,68.62,20.62,117.89,18.83,69.48,27.88,57.57,50.98,47.45,47.95,66.54,167.53,145.42,41.93,85.83,329.37,80.31,93.61,63.32,24.88,158.86,95.58,44.88,158.12,155.28,86.11,52.67,280.15,103.06,81.85,70.06,26.06,69.06,92.8,175.14,31.4,151.4,38.08,24.79,36.28,309.68,28.77,153.32,59.65,67.9,32,16.86,56.45,72.4,49.19,49.39,118.14,72.93,55.93,205.65,34.47,104.51,146.84,118.62,31.24,90.24,141.82,38.98,178.03,17.77,56.74,92.56,104.7,201.61,269.66,68.17,193.05,49.37,424.24,167.2,176.83,107.94,100.37,218.75,172.82,159.17,61.45,37.6,82.71,52.31,68.6,105.91,37.83,205.01,45.16,81.78,90.82,58.29,14.33,109.54,57.07,139.81,55.82,111.75,207.46,62.45,168.73,87.84,32.5,35.24,46.58,30.33,69.46,82.53,74.9
2018-01-10,38.33,70.34,110.09,99.59,58.22,157.79,10.68,45.375,98.76,63.58,71.2,100.86,73.63,151.89,233.42,44.54,90.11,118.02,30.34,68.43,69.85,223.09,43.48,533.78,38.01,61.51,203.14,55.08,75.63,36.88,66.14,145.07,44.53,41.91,91.5,205.64,72.6,74.76,142.48,152.91,327.33,181.37,45.14,101.45,229.64,58.08,20.34,45.85,63.63,108.9,16.82,76.84,75.99,55.17,166.88,78.73,100.56,51.53,97.1,83.43219,96.68,80.27,42.34,134.79,62.81,96.73,72.18,112.66,61.2,38.16,12.99,69.46,19.61,264.74,31.53,42.52,97.5,18.6,92.36,33.54,98.44,31.67,59.86,230.57,51.9,21.36,85.8,52.88,55.09,81.85,52.1,155.3,21.93,36.02,20.29,110.1,262.39,167.55,67.74,28.32,48.48,67.8,21.03,113.44,18.97,69.71,27.67,58.19,51.36,47.57,47.43,66.73,169.84,144.28,42.28,85.59,331.06,82.67,94.12,62.39,25.06,158.11,93.7,45.26,158.45,155.9,84.6,52.78,277.07,101.38,81.74,69.22,25.95,69.1,92.06,176.69,31.47,150.27,38.19,24.27,36.26,307.36,28.25,152.95,59.94,67.55,31.48,16.77,56.53,71.64,49.07,49.24,116.93,73.01,55.93,206.71,34.01,103.96,149.2,117.42,31.15,89.25,139.52,38.57,179.28,17.95,56.51,94.54,104.48,202.38,267.23,67.53,192.17,48.65,419.24,162.58,177.19,107.05,103.72,221.02,171.39,158.05,60.34,36.93,84.61,52.63,69.58,105.82,37.65,202.06,44.9,80.79,90.47,58.32,13.83,110.37,57.01,140.68,56.05,111.62,204.08,62.56,165.56,87.31,32.43,34.75,46.19,30.08,68.89,82.17,73.97
2018-01-11,38.53,70.99,110.01,98.79,58.48,158.24,10.8,45.57,96.09,63.54,73.38,100.91,73.65,153.01,235.89,45.56,89.6,119.22,30.48,68.33,70.67,223.66,43.2,530.37,37.88,62.27,206.45,54.86,75.75,36.82,68.11,145.5,44.4,43.29,92.25,210.28,72.46,74.72,142.88,152.55,324.7,182.88,44.89,103.86,229.25,58.13,20.48,45.79,63.8,108.84,17.43,78.03,76.71,56.57,165.89,79.71,100.79,52.13,98.23,83.50484,97.1,79.42,42.98,135,62.93,97.38,72.65,113.93,61.13,38.48,13.03,68.74,19.41,268.66,31.81,42.79,97.21,19.29,93.13,33.48,99.39,32.04,60.45,234.31,52.96,21.82,86.18,54.22,55.26,82.35,52.62,157.49,22.19,34.88,20.68,110.46,265.04,167.36,68.65,28.48,49.25,66.5,21.19,114.1,18.89,71.1,27.92,59.05,51.56,49.49,47.88,69.59,170.39,145.16,42.38,86,331.47,83.78,94.33,63.76,25.67,159.64,93.54,44.7,160.06,155.15,85.36,53.69,270.93,101.59,81.01,70.47,26.52,69.84,92.77,177.39,31.83,150.58,38.5,24.33,36.25,308.93,28.44,152.79,60.53,68.87,31.52,16.86,57.79,73.01,48.56,50.06,117.49,73.69,55.91,207.17,34.32,106.25,150.54,116.32,30.83,90.73,141.68,38.31,181.67,18.22,56.03,94.63,104.62,203.22,269.02,67.73,193.66,48.71,419.88,164.6,175.43,106.78,104.82,220.16,171.87,158.28,61.13,36.63,85.66,53.06,71.22,105.68,38.005,206.37,45.22,79.55,91.13,58.69,14.29,112.89,58.33,140.26,56.56,112.12,206.69,63.22,165.94,87.66,32.74,34.55,45.96,31.79,68.82,82.75,74.07
2018-01-12,39.03,70.93,113.4,99.53,58.98,158.98,11.02,44.045,96.07,63.14,74.32,100.07,74.71,151.55,239.41,46.95,90.68,119.06,30.86,68.37,72.44,226.16,44.47,551.26,38.01,62.98,207.41,56.54,76.28,36.63,69.1,143.59,44.97,43.25,94.03,213.25,72.97,74.6,141.23,152.34,325.37,184.24,44.14,105.98,225.73,59.93,20.51,45.53,64.65,108.86,17.31,79.25,75.95,59.6,169.31,80.5,100.68,51.9,99,83.56134,98.86,79.1,43.31,137.39,62.46,97.12,73.92,115.96,61.76,38.28,13.21,69.7,19.84,270.64,32.09,43.58,97.37,18.83,92.66,33.89,102.38,34.18,61.64,238.46,53.17,22.39,87.54,54.68,54.87,83.65,54.33,158.56,22.69,34.34,20.48,110.02,267.88,169.88,69.5,28.7,51.54,65.18,21.36,112.77,19.47,72.04,28.33,64.03,51.57,50.92,48.61,69.41,170.64,145.52,42.98,86.8,332.76,83.91,96.33,65.55,27.35,160.46,91.85,45.69,163.23,156.39,85.67,53.48,271.02,100.61,81.01,70.19,27.14,70.95,96.36,178.41,32.38,149.73,38.89,24.07,37.02,312.1,28.63,155.07,61.88,69.44,31.98,16.97,58.42,75.47,49.4,49.82,117.6,73.84,55.34,208.76,34.4,105.24,150.74,118.32,30.81,91.77,143.51,39.13,184.49,18.27,56.57,96.07,106.34,206.04,273.4,67.88,196,48.89,426.74,164.99,176.45,106.45,106.3,219.42,172.39,158.59,61.4,36.34,84.52,53.14,75.25,107.98,39.085,208.38,45.2,79.2,91.66,59.3,14.2,114.79,58.36,141.07,56.78,107.92,207.16,62.52,169.79,87.97,33.12,34.91,45.34,31.91,70.47,82.9,75.03
2018-01-16,38.79,72.31,115.12,101.86,58.99,159.47,10.99,43.32,95.02,63.96,72.5,102.16,75.24,155.13,243.04,47.38,92.27,119.23,31.51,68.08,73.82,229,45.57,566.94,38.09,60.84,213.42,57.13,77.68,36.87,72.08,145.57,45.44,41.91,94.6,215.56,74.37,74.94,141.88,154.85,328.16,184.37,44.3,105.64,232.29,59.83,20.85,46.62,65.13,111.15,17.48,79.52,75.9,60.38,169.19,80.34,101.63,51.74,99.97,84.04566,98.67,79.1,44.17,138.32,61.51,97.89,73.29,115.17,61.48,38.74,13.45,70.92,19.56,271.1,32.37,44.59,96.87,18.04,92.13,34.66,103.91,33.94,62.37,235.86,52.75,22.51,88.71,54.55,55.26,84.63,53.79,159.3,22.89,34.9,20.6,108.86,269.27,171.38,69.85,29.03,51.52,65.82,21.64,114.15,19.75,72.43,28.08,64.67,52.72,50.28,49.04,69.29,171.45,148.07,43.57,86.39,336.03,84.19,104.96,65.68,26.83,162.26,93.33,46.02,168.53,158.1,85.6,52.9,275.9,101.73,81.69,69.61,26.52,71.43,96.52,178.45,32.33,150.47,39.55,24.1,37.51,317.54,28.19,155.39,63.17,69.84,31.82,17.14,59.74,76.33,49.94,50.16,118.04,74.31,56.41,211.52,34.34,104.52,154.29,118.77,31.38,91.27,142.57,39.35,185.19,18.32,56.83,97.31,105.95,208.29,275.49,68.45,199.3,48.89,432.98,167.6,177.89,107.14,107.86,219.39,173.83,160.53,61.78,36.87,84.83,53.22,77.39,108.95,38.97,210.49,45.89,80.19,91.34,60.17,13.38,115.65,56.56,140.13,57.2,109.39,210.31,62.64,171.75,88.27,33.39,35.41,45.37,32.76,71.22,83.68,76.15
