Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2018-01-02,170.98,99.05,296.49,158.45,38.86,125.8,109.37,254.91,190.36,154.45,46.77,139.34,107.07,45.75,173.38,235.68,56.52,86.13,62.96,36.42,91.1,127.86,133.96,221.23,114.74,53.08,73.9,99.15,83.65
2018-01-03,173.83,99.23,297.6,156.7,38.76,127.21,112.67,253.6,188.34,158.74,45.75,138.96,107.72,45.53,172.76,233.67,55.98,86.38,63.06,36.27,90.83,129.74,131.69,221.56,115.44,52.88,74.81,99.17,85.18
2018-01-04,172.88,101.19,297.55,158.68,39.19,127.95,111.92,258.48,189.26,160.58,43.21,140.87,109.87,45.77,173.03,237.69,56.55,86.97,62.9,36.69,91.3,130.5,133.48,224.75,116.52,52.22,71.1,99.1,86.72
2018-01-05,174.07,100.35,297.25,160.18,39.6,127.75,111.39,254.86,191.71,162.22,44.38,140.3,108.54,46.12,174.66,238.09,57.06,87.99,63.79,36.74,90.88,131.17,131.37,227.85,116.86,52.62,72.49,99.97,86.55
2018-01-08,174.96,100.93,306.98,164.11,39.38,128.06,109.59,253.17,192.68,163.65,44.19,141.47,108.26,45.92,173.62,240.21,56.74,87.59,64.32,36.51,91.41,133.2,131.95,225.97,119.17,52.21,73.08,100.69,86.59
2018-01-09,173.68,100.47,312.01,165.63,39.51,128.24,110.3,254.23,191.98,162.98,44.43,144.3,109.31,45.95,173.76,240.6,56.74,87.93,63.8,36.44,91.32,133.08,133.23,224.26,118.55,51.98,73.62,101.48,86.82
2018-01-10,173.3,100.59,316.37,165.54,39.77,127.91,110.17,252.21,191.96,163.06,43.42,143.73,109.69,46.01,172.72,240.11,56.79,87.8,63.59,36.41,90.09,134.31,132.26,223.96,117.5,51.44,73.32,99.08,86.84
2018-01-11,174.97,100.82,324.67,167.78,39.75,129.8,109.69,254.04,192.84,163.65,43,144.09,110.32,46.15,174.1,240.69,57.35,87.63,63.82,36.51,89.99,135.43,132.36,224.4,119.03,51.74,74.83,99.36,86.26
2018-01-12,175.95,100.44,333.96,169.65,40.11,132.8,111.31,256.25,197.66,163.87,43.29,145.97,111.71,46.34,173.14,243.66,58.32,88.84,64.51,36.63,90.14,135.98,132.2,228.87,119.65,51.96,76.67,101.32,87.46
2018-01-16,178.86,101.79,345.42,172.19,40.98,133.64,112.36,259.89,198.44,164.5,43.67,146.65,112.66,46.36,173.79,245.67,62.44,90.47,64.75,36.72,90.47,137,135,233.72,120.94,51.76,76.41,101.42,87.41
